State,City,FAA,IATA,ICAO,Airport
COLORADO,Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field)
COLORADO,Gunnison,GUC,GUC,KGUC,Gunnison-Crested Butte Regional Airport
COLORADO,Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional)
COLORADO,Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport
CONNECTICUT,Hartford,BDL,BDL,KBDL,Bradley International Airport
CONNECTICUT,New Haven,HVN,HVN,KHVN,Tweed New Haven Regional Airport
DELAWARE,Wilmington,ILG,ILG,KILG,Wilmington Airport
FLORIDA,Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport
FLORIDA,Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport
FLORIDA,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport
FLORIDA,Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport
FLORIDA,Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport
FLORIDA,Key West,EYW,EYW,KEYW,Key West International Airport
FLORIDA,Melbourne,MLB,MLB,KMLB,Melbourne International Airport
FLORIDA,Miami,MIA,MIA,KMIA,Miami International Airport
FLORIDA,Orlando,MCO,MCO,KMCO,Orlando International Airport
FLORIDA,Orlando/Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport
FLORIDA,Panama City Beach,ECP,ECP,KECP,Northwest Florida Beaches International Airport
FLORIDA,Pensacola,PNS,PNS,KPNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport)
FLORIDA,Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport
FLORIDA,Sarasota / Bradenton,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport
FLORIDA,St. Augustine,SGJ,UST,KSGJ,Northeast Florida Regional Airport
FLORIDA,St. Petersburg/Clearwater,PIE,PIE,KPIE,St. Pete–Clearwater International Airport
FLORIDA,Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport
FLORIDA,Tampa,TPA,TPA,KTPA,Tampa International Airport
FLORIDA,Valparaiso,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base
FLORIDA,Vero Beach,VRB,VRB,KVRB,Vero Beach Regional Airport
FLORIDA,West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport
GEORGIA,Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport
GEORGIA,Atlanta,ATL,ATL,KATL,Hartsfield-Jackson Atlanta International Airport
GEORGIA,Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field)
GEORGIA,Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport
GEORGIA,Columbus,CSG,CSG,KCSG,Columbus Metropolitan Airport
GEORGIA,Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport
GEORGIA,Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport
HAWAII,"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport
HAWAII,"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport
HAWAII,"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport
HAWAII,"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Kona International Airport at Keahole
HAWAII,"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport
HAWAII,"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport
HAWAII,"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport
IDAHO,Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field)
IDAHO,Hailey,SUN,SUN,KSUN,Friedman Memorial Airport
IDAHO,Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field)
IDAHO,Lewiston,LWS,LWS,KLWS,Lewiston-Nez Perce County Airport
IDAHO,Pocatello / Arbon Valley,PIH,PIH,KPIH,Pocatello Regional Airport
IDAHO,Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field)
ILLINOIS,Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base
ILLINOIS,Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal
ILLINOIS,Champaign / Urbana,CMI,CMI,KCMI,University of Illinois - Willard Airport
ILLINOIS,Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport
ILLINOIS,Chicago,MDW,MDW,KMDW,Chicago Midway International Airport
